Query ID,Category,Query,Ground Truth,Model Response,Prediction,Confusion Matrix Class,Correct
Q197,Authentication Attack,Was there suspicious repeated login activity from a single IP? (log case 197),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q340,Benign Activity,Was this event consistent with normal system activity? (log case 340),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q289,Benign Activity,Was this event consistent with normal system activity? (log case 289),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q319,Benign Activity,Was this event consistent with normal system activity? (log case 319),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q458,Benign Activity,Did the logs indicate benign user behavior? (log case 458),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q125,Authentication Attack,Was there suspicious repeated login activity from a single IP? (log case 125),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q243,Benign Activity,Was the observed activity non-malicious? (log case 243),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q043,Privilege Escalation,Did the event indicate possible privilege escalation? (log case 043),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q061,Authentication Attack,Did repeated failed SSH logins indicate a brute-force attack? (log case 061),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q193,Authentication Attack,Did repeated failed SSH logins indicate a brute-force attack? (log case 193),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q423,Benign Activity,Was the observed activity non-malicious? (log case 423),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q267,Benign Activity,Was the observed activity non-malicious? (log case 267),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q255,Benign Activity,Was the observed activity non-malicious? (log case 255),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q385,Benign Activity,Was this event consistent with normal system activity? (log case 385),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q498,Authentication Attack,Did the authentication logs show credential-stuffing behavior? (log case 498),Attack,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,FN,No
Q227,Benign Activity,Did the logs indicate benign user behavior? (log case 227),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q496,Privilege Escalation,Did the event indicate possible privilege escalation? (log case 496),Attack,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,FN,No
Q114,Network Anomaly,Was there abnormal port scanning activity? (log case 114),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q020,Suspicious Process,Did the endpoint execute an unusual command? (log case 020),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q219,Privilege Escalation,Did a user gain elevated permissions suspiciously? (log case 219),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q119,Privilege Escalation,Was an unauthorized privileged command executed? (log case 119),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q365,Benign Activity,Did the logs indicate benign user behavior? (log case 365),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q386,Benign Activity,Did the logs indicate benign user behavior? (log case 386),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q438,Benign Activity,Was the observed activity non-malicious? (log case 438),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q294,Benign Activity,Was the observed activity non-malicious? (log case 294),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q494,Authentication Attack,Was there suspicious repeated login activity from a single IP? (log case 494),Attack,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,FN,No
Q379,Benign Activity,Was this event consistent with normal system activity? (log case 379),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q242,Benign Activity,Did the logs indicate benign user behavior? (log case 242),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q447,Benign Activity,Was the observed activity non-malicious? (log case 447),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q436,Benign Activity,Was this event consistent with normal system activity? (log case 436),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q028,Suspicious Process,Was a suspicious process execution detected? (log case 028),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q221,Benign Activity,Did the logs indicate benign user behavior? (log case 221),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q470,Benign Activity,Did the logs indicate benign user behavior? (log case 470),Benign,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,FP,No
Q087,Privilege Escalation,Did a user gain elevated permissions suspiciously? (log case 087),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q362,Benign Activity,Did the logs indicate benign user behavior? (log case 362),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q104,Suspicious Process,Did the endpoint execute an unusual command? (log case 104),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q482,Benign Activity,Did the logs indicate benign user behavior? (log case 482),Benign,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,FP,No
Q026,Network Anomaly,Did the logs indicate suspicious communication with an external host? (log case 026),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q308,Benign Activity,Did the logs indicate benign user behavior? (log case 308),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q168,Suspicious Process,Was potentially malicious process activity observed? (log case 168),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q451,Benign Activity,Was this event consistent with normal system activity? (log case 451),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q476,Benign Activity,Did the logs indicate benign user behavior? (log case 476),Benign,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,FP,No
Q411,Benign Activity,Was the observed activity non-malicious? (log case 411),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q222,Benign Activity,Was the observed activity non-malicious? (log case 222),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q417,Benign Activity,Was the observed activity non-malicious? (log case 417),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q106,Network Anomaly,Was unusual outbound network traffic detected? (log case 106),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q372,Benign Activity,Was the observed activity non-malicious? (log case 372),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q091,Privilege Escalation,Did the event indicate possible privilege escalation? (log case 091),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q453,Benign Activity,Was the observed activity non-malicious? (log case 453),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q169,Authentication Attack,Did repeated failed SSH logins indicate a brute-force attack? (log case 169),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q241,Benign Activity,Was this event consistent with normal system activity? (log case 241),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q403,Benign Activity,Was this event consistent with normal system activity? (log case 403),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q049,Authentication Attack,Did repeated failed SSH logins indicate a brute-force attack? (log case 049),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q105,Authentication Attack,Did the authentication logs show credential-stuffing behavior? (log case 105),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q207,Privilege Escalation,Did a user gain elevated permissions suspiciously? (log case 207),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q248,Benign Activity,Did the logs indicate benign user behavior? (log case 248),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q201,Authentication Attack,Did the authentication logs show credential-stuffing behavior? (log case 201),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q063,Privilege Escalation,Did a user gain elevated permissions suspiciously? (log case 063),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q478,Benign Activity,Was this event consistent with normal system activity? (log case 478),Benign,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,FP,No
Q148,Suspicious Process,Was a suspicious process execution detected? (log case 148),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q147,Privilege Escalation,Did a user gain elevated permissions suspiciously? (log case 147),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q226,Benign Activity,Was this event consistent with normal system activity? (log case 226),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q422,Benign Activity,Did the logs indicate benign user behavior? (log case 422),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q485,Benign Activity,Did the logs indicate benign user behavior? (log case 485),Benign,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,FP,No
Q492,Privilege Escalation,Did a user gain elevated permissions suspiciously? (log case 492),Attack,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,FN,No
Q452,Benign Activity,Did the logs indicate benign user behavior? (log case 452),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q110,Network Anomaly,Did the logs indicate suspicious communication with an external host? (log case 110),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q295,Benign Activity,Was this event consistent with normal system activity? (log case 295),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q441,Benign Activity,Was the observed activity non-malicious? (log case 441),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q122,Network Anomaly,Did the logs indicate suspicious communication with an external host? (log case 122),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q266,Benign Activity,Did the logs indicate benign user behavior? (log case 266),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q170,Network Anomaly,Did the logs indicate suspicious communication with an external host? (log case 170),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q382,Benign Activity,Was this event consistent with normal system activity? (log case 382),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q035,Privilege Escalation,Was an unauthorized privileged command executed? (log case 035),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q269,Benign Activity,Did the logs indicate benign user behavior? (log case 269),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q031,Privilege Escalation,Did the event indicate possible privilege escalation? (log case 031),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q401,Benign Activity,Did the logs indicate benign user behavior? (log case 401),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q462,Benign Activity,Was the observed activity non-malicious? (log case 462),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q355,Benign Activity,Was this event consistent with normal system activity? (log case 355),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q383,Benign Activity,Did the logs indicate benign user behavior? (log case 383),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q011,Privilege Escalation,Was an unauthorized privileged command executed? (log case 011),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q174,Network Anomaly,Was there abnormal port scanning activity? (log case 174),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q343,Benign Activity,Was this event consistent with normal system activity? (log case 343),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q116,Suspicious Process,Did the endpoint execute an unusual command? (log case 116),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q364,Benign Activity,Was this event consistent with normal system activity? (log case 364),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q062,Network Anomaly,Did the logs indicate suspicious communication with an external host? (log case 062),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q232,Benign Activity,Was this event consistent with normal system activity? (log case 232),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q265,Benign Activity,Was this event consistent with normal system activity? (log case 265),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q225,Benign Activity,Was the observed activity non-malicious? (log case 225),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q313,Benign Activity,Was this event consistent with normal system activity? (log case 313),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q357,Benign Activity,Was the observed activity non-malicious? (log case 357),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q160,Suspicious Process,Was a suspicious process execution detected? (log case 160),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q103,Privilege Escalation,Did the event indicate possible privilege escalation? (log case 103),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q311,Benign Activity,Did the logs indicate benign user behavior? (log case 311),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q373,Benign Activity,Was this event consistent with normal system activity? (log case 373),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q345,Benign Activity,Was the observed activity non-malicious? (log case 345),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q338,Benign Activity,Did the logs indicate benign user behavior? (log case 338),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q366,Benign Activity,Was the observed activity non-malicious? (log case 366),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q085,Authentication Attack,Did repeated failed SSH logins indicate a brute-force attack? (log case 085),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q282,Benign Activity,Was the observed activity non-malicious? (log case 282),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q244,Benign Activity,Was this event consistent with normal system activity? (log case 244),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q066,Network Anomaly,Was there abnormal port scanning activity? (log case 066),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q065,Authentication Attack,Was there suspicious repeated login activity from a single IP? (log case 065),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q273,Benign Activity,Was the observed activity non-malicious? (log case 273),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q424,Benign Activity,Was this event consistent with normal system activity? (log case 424),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q249,Benign Activity,Was the observed activity non-malicious? (log case 249),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q044,Suspicious Process,Did the endpoint execute an unusual command? (log case 044),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q418,Benign Activity,Was this event consistent with normal system activity? (log case 418),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q376,Benign Activity,Was this event consistent with normal system activity? (log case 376),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q124,Suspicious Process,Was a suspicious process execution detected? (log case 124),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q030,Network Anomaly,Was there abnormal port scanning activity? (log case 030),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q123,Privilege Escalation,Did a user gain elevated permissions suspiciously? (log case 123),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q158,Network Anomaly,Did the logs indicate suspicious communication with an external host? (log case 158),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q356,Benign Activity,Did the logs indicate benign user behavior? (log case 356),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q331,Benign Activity,Was this event consistent with normal system activity? (log case 331),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q010,Network Anomaly,Was unusual outbound network traffic detected? (log case 010),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q251,Benign Activity,Did the logs indicate benign user behavior? (log case 251),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q166,Network Anomaly,Was unusual outbound network traffic detected? (log case 166),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q307,Benign Activity,Was this event consistent with normal system activity? (log case 307),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q001,Authentication Attack,Did repeated failed SSH logins indicate a brute-force attack? (log case 001),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q272,Benign Activity,Did the logs indicate benign user behavior? (log case 272),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q277,Benign Activity,Was this event consistent with normal system activity? (log case 277),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q083,Privilege Escalation,Was an unauthorized privileged command executed? (log case 083),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q192,Suspicious Process,Was potentially malicious process activity observed? (log case 192),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q348,Benign Activity,Was the observed activity non-malicious? (log case 348),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q474,Benign Activity,Was the observed activity non-malicious? (log case 474),Benign,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,FP,No
Q400,Benign Activity,Was this event consistent with normal system activity? (log case 400),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q320,Benign Activity,Did the logs indicate benign user behavior? (log case 320),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q153,Authentication Attack,Did the authentication logs show credential-stuffing behavior? (log case 153),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q055,Privilege Escalation,Did the event indicate possible privilege escalation? (log case 055),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q260,Benign Activity,Did the logs indicate benign user behavior? (log case 260),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q092,Suspicious Process,Did the endpoint execute an unusual command? (log case 092),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q257,Benign Activity,Did the logs indicate benign user behavior? (log case 257),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q431,Benign Activity,Did the logs indicate benign user behavior? (log case 431),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q002,Network Anomaly,Did the logs indicate suspicious communication with an external host? (log case 002),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q460,Benign Activity,Was this event consistent with normal system activity? (log case 460),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q081,Authentication Attack,Did the authentication logs show credential-stuffing behavior? (log case 081),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q223,Benign Activity,Was this event consistent with normal system activity? (log case 223),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q432,Benign Activity,Was the observed activity non-malicious? (log case 432),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q499,Network Anomaly,Was unusual outbound network traffic detected? (log case 499),Attack,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,FN,No
Q456,Benign Activity,Was the observed activity non-malicious? (log case 456),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q329,Benign Activity,Did the logs indicate benign user behavior? (log case 329),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q405,Benign Activity,Was the observed activity non-malicious? (log case 405),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q437,Benign Activity,Did the logs indicate benign user behavior? (log case 437),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q059,Privilege Escalation,Was an unauthorized privileged command executed? (log case 059),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q006,Network Anomaly,Was there abnormal port scanning activity? (log case 006),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q284,Benign Activity,Did the logs indicate benign user behavior? (log case 284),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q129,Authentication Attack,Did the authentication logs show credential-stuffing behavior? (log case 129),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q271,Benign Activity,Was this event consistent with normal system activity? (log case 271),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q240,Benign Activity,Was the observed activity non-malicious? (log case 240),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q406,Benign Activity,Was this event consistent with normal system activity? (log case 406),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q196,Suspicious Process,Was a suspicious process execution detected? (log case 196),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q198,Network Anomaly,Was there abnormal port scanning activity? (log case 198),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q033,Authentication Attack,Did the authentication logs show credential-stuffing behavior? (log case 033),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q306,Benign Activity,Was the observed activity non-malicious? (log case 306),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q488,Privilege Escalation,Was an unauthorized privileged command executed? (log case 488),Attack,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,FN,No
Q459,Benign Activity,Was the observed activity non-malicious? (log case 459),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q430,Benign Activity,Was this event consistent with normal system activity? (log case 430),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q079,Privilege Escalation,Did the event indicate possible privilege escalation? (log case 079),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q057,Authentication Attack,Did the authentication logs show credential-stuffing behavior? (log case 057),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q025,Authentication Attack,Did repeated failed SSH logins indicate a brute-force attack? (log case 025),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q047,Privilege Escalation,Was an unauthorized privileged command executed? (log case 047),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q253,Benign Activity,Was this event consistent with normal system activity? (log case 253),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q261,Benign Activity,Was the observed activity non-malicious? (log case 261),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q071,Privilege Escalation,Was an unauthorized privileged command executed? (log case 071),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q387,Benign Activity,Was the observed activity non-malicious? (log case 387),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q428,Benign Activity,Did the logs indicate benign user behavior? (log case 428),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q205,Authentication Attack,Did repeated failed SSH logins indicate a brute-force attack? (log case 205),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q299,Benign Activity,Did the logs indicate benign user behavior? (log case 299),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q220,Suspicious Process,Was a suspicious process execution detected? (log case 220),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q300,Benign Activity,Was the observed activity non-malicious? (log case 300),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q135,Privilege Escalation,Did a user gain elevated permissions suspiciously? (log case 135),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q276,Benign Activity,Was the observed activity non-malicious? (log case 276),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q475,Benign Activity,Was this event consistent with normal system activity? (log case 475),Benign,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,FP,No
Q127,Privilege Escalation,Did the event indicate possible privilege escalation? (log case 127),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q493,Suspicious Process,Was a suspicious process execution detected? (log case 493),Attack,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,FN,No
Q442,Benign Activity,Was this event consistent with normal system activity? (log case 442),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q074,Network Anomaly,Did the logs indicate suspicious communication with an external host? (log case 074),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q235,Benign Activity,Was this event consistent with normal system activity? (log case 235),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q330,Benign Activity,Was the observed activity non-malicious? (log case 330),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q203,Privilege Escalation,Was an unauthorized privileged command executed? (log case 203),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q256,Benign Activity,Was this event consistent with normal system activity? (log case 256),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q336,Benign Activity,Was the observed activity non-malicious? (log case 336),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q377,Benign Activity,Did the logs indicate benign user behavior? (log case 377),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q381,Benign Activity,Was the observed activity non-malicious? (log case 381),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q368,Benign Activity,Did the logs indicate benign user behavior? (log case 368),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q291,Benign Activity,Was the observed activity non-malicious? (log case 291),Benign,Analysis indicates the available evidence is consistent with benign or normal activity.,Benign,TN,Yes
Q109,Authentication Attack,Did repeated failed SSH logins indicate a brute-force attack? (log case 109),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q034,Network Anomaly,Was unusual outbound network traffic detected? (log case 034),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
Q138,Network Anomaly,Was there abnormal port scanning activity? (log case 138),Attack,Analysis indicates suspicious activity consistent with a potential security threat.,Attack,TP,Yes
